City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,pangai,14.5333,20.9167,32.38,29,97,2.54,TD,1687913204
340,pangai,14.35,121.0167,29.64,82,75,2.24,PH,1687913204
341,pangai,39.522,-6.3748,25.73,32,0,1.44,ES,1687913205
342,pangai,-12.0667,134.2667,28.42,58,14,6.1,AU,1687913205
343,pangai,53.0862,21.5757,10.43,88,53,3.41,PL,1687913205
344,pangai,-13.8483,136.4192,26.28,70,4,5.72,AU,1687912646
345,pangai,37.1041,-113.5841,35.24,9,0,4.12,US,1687912625
346,pangai,50.4111,80.2275,17.12,59,0,6.0,KZ,1687913205
347,pangai,38.8876,-76.5119,23.59,90,75,2.06,US,1687912647
348,pangai,42.2506,-75.833,21.22,88,93,2.24,US,1687913206
349,pangai,65.9667,78.3667,11.4,72,100,1.11,RU,1687913206
350,pangai,20.2833,73.0167,24.79,93,100,2.12,IN,1687913206
351,pangai,43.3378,131.8639,21.92,93,100,2.07,RU,1687913206
352,pangai,-8.103,156.8419,27.5,81,96,5.17,SB,1687913206
353,pangai,64.3833,-173.3,12.06,58,75,3.13,RU,1687912614
354,pangai,-16.4833,-151.75,26.93,70,5,10.02,PF,1687913206
355,pangai,-2.5447,14.7533,21.79,76,100,2.6,CG,1687913207
356,pangai,41.14,-104.8203,31.08,10,0,7.2,US,1687912965
357,pangai,5.9485,80.5353,26.14,87,100,4.37,LK,1687913012
358,pangai,24.0934,32.907,31.61,18,0,3.6,EG,1687912584
359,pangai,19.8856,102.1347,29.98,79,75,0.0,LA,1687913208
360,pangai,56.8879,21.1859,12.95,94,99,2.41,LV,1687913208
361,pangai,9.4515,18.9449,23.72,91,100,1.77,TD,1687913208
362,pangai,23.5656,116.8194,27.99,89,40,2.0,CN,1687913209
363,pangai,35.7698,-91.641,29.49,60,0,1.54,US,1687913209
364,pangai,11.8464,13.1603,28.57,55,100,2.53,NG,1687913131
365,pangai,32.6667,-17.1,27.35,35,13,1.08,PT,1687913209
366,pangai,35.1333,140.3,26.01,91,100,6.8,JP,1687913209
367,pangai,2.7858,24.73,20.72,98,97,0.49,CD,1687913209
368,pangai,33.2531,119.9133,30.91,65,100,4.55,CN,1687913209
369,pangai,61.6864,53.6902,12.3,95,100,0.84,RU,1687913209
370,pangai,20.4487,121.9702,28.23,86,100,8.0,PH,1687913210
371,pangai,17.0818,122.4157,29.47,74,100,0.93,PH,1687913210
372,pangai,-20.35,164.4333,24.21,48,0,1.44,NC,1687913211
373,pangai,45.8747,24.7009,16.1,95,100,0.53,RO,1687913211
374,pangai,5.8808,-10.0467,24.86,73,100,3.84,LR,1687913211
375,pangai,43.9575,12.7376,23.95,77,100,7.6,IT,1687913211
376,pangai,27.2696,31.1511,28.12,27,0,2.46,EG,1687913212
377,pangai,21.2833,-88.2667,26.58,80,83,5.03,MX,1687913212
